inputs,outputs
"can you give me the weather this week for new york city this week in new york is predicted to be dry, clear skies, with a blizzard, windy and rain. will it drizzle in new york this week tho? the isn't any drizzle predicted to fall in new york this week. okay, thanks!",you're welcome.
will it be warm in brentwood tomorrow?,it will not be warm in brentwood tomorrow.
it's going to be raining so i have to drive slow,where are you driving?
car what is the weather going to be like in the next several days,where do you want to know the weather for?
car i need a gas station!,valero is a gas station Valero_distance away at 200 alester ave.
is it supposed to rain this week,what city are you inquiring about?
what's today's and tomorrow's forecast,what city would you like weather information about today and tomorrow?
what's the weather like what city would you like to find out the weather about? i need to know weather information about atherton. what days are you interested in? find out if there will be a blizzard on atherton_tuesday,on atherton_tuesday there will be clear skies
give me directions home,"we're home_distance away from home with moderate traffic on our way, i sent you the route on the screen"
"does the local forecasts say it'll be cloudy what city do you want the weather for? i need this information about durham please.   sorry, i didn't get a response from you, can you repeat that? it will be cloudy on durham_thursday in durham. thanks.",i'm here to assist you!
please give me an address and directions via the quickest route to a parking garage near me.,the parking garage closest is dish parking at Dish_Parking_address. shall i set directions there?
"set my route to the closest mall okay, you will be heading to Stanford_Shopping_Center_address to stanford shopping center. let's avoid all Stanford_Shopping_Center_traffic_info and let's go there, thank you!","setting the route with best traffic for you, drive carefully!"
"what time does my next dinner gathering start and who will be attending? your next dinner gathering is dinner_date at 7 pm with marie. ok, will anyone else be attending?","no, just martha."
what is the weather like right now where are you wanting to know the weather for? i want to know if it is humid in san jose now. it is snowy in san jose right now. thanks.,you are welcome.
get me the weather forecast for the next 7 days what city do you want the 7 day forecast for? i'm currently in cleveland.,"cleveland is predicted to be windy, raining, snow, clear skies, frost, and a blizzard over the next 7 days"
put a reminder in my calendar for tomorrow at 5 pm meeting,ok...i've set your meeting for 5 pm..tomorrow.
schedule dinner with martha later this week at 11am. what day of the week do you want the reminder set for? tuesday. thank you,reminder set into your calendar.
make a note to find a restaurant to eat at at 5 pm on the 12th,which restaurant do you want to eat at?
"are there any chinese places i can get to with no traffic within 5 miles of here? p.f.changs at 669 el camino real is 1 mile away trough moderate traffic thank you car, let's go there!",setting navigation to pf changs now.
"where are the nearest coffee shops we're Palo_Alto_Cafe_distance away from starbucks and Palo_Alto_Cafe_distance away from palo alto cafe: where do you prefer to go? it's the same, please pick one with a quick route please palo alto cafe is quicker since there is Palo_Alto_Cafe_traffic_info on route. would you like the address? yes please.","palo alto cafe is located at 436 alger dr, which is Palo_Alto_Cafe_distance away with no traffic."
where can i go shopping?,ravenswood shopping center is close.
will there be drizzle on grand_rapids_tuesday,what location do you want the weather for?
"please tell me the weather for today and what the weather will be tomorrow what city shall i find the weather forecast for? i want to know if there will be clear skies in downtown chicago. yes today and tomorrow is supposed to be clear for chicago.  ok, great, thanks.",no problem.
