,inputs,outputs,predictions
2478,"car i need to get at my friends house near my current location, please send me their address on the screen",tom lives at 580 van ness ave.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> tom lives at 580 van ness ave <eos>
2479,"car i need to get at my friends house near my current location, please send me their address on the screen tom lives at 580 van ness ave. pick a route to avoid all heavy traffic and let's go there, thank you!","i sent the fastest route on your screen, you're welcome!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i sent the fastest route on your screen you're <unk> <eos>
2480,give me directions to the closest grocery store,we're Safeway_distance away from safeway but there is heavy traffic in this moment: do i set the gps to go there?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> and country set it there to go <unk> <eos>
2481,"give me directions to the closest grocery store we're Safeway_distance away from safeway but there is heavy traffic in this moment: do i set the gps to go there? pick a quick route and let's go there, thank you car!",navigating to safeway.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> navigating to safeway <eos>
2482,"give me directions to the closest grocery store we're Safeway_distance away from safeway but there is heavy traffic in this moment: do i set the gps to go there? pick a quick route and let's go there, thank you car! navigating to safeway. sounds great.","have a great day, we should be there shortly.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> have a great day we should be there shortly <eos>
2483,where can i get chinese food?,i have a listing for a chinese restaurant named tai pan located tai_pan_distance away.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there tai still on tai_pan_distance <unk> <eos>
2484,where can i get chinese food? i have a listing for a chinese restaurant named tai pan located tai_pan_distance away. is that the closest? if so send address.,yes it is the closest. the address is tai_pan_address.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> yes it is the closest the address is tai_pan_address <eos>
2485,"where can i get chinese food? i have a listing for a chinese restaurant named tai pan located tai_pan_distance away. is that the closest? if so send address. yes it is the closest. the address is tai_pan_address. great, thanks",no problem.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> no problem <eos>
2486,search for nearest fast food restaurants,"there is two restaurants near you; one serves pizza and the other chinese, which do you prefer?",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the location at 528 anton ct <eos>
2487,"search for nearest fast food restaurants there is two restaurants near you; one serves pizza and the other chinese, which do you prefer? the pizza place, give me the quickest one that is nearby.","then let's go at round table, 113 anton ct ,it's just Round_Table_distance away but there is heavy traffic, i hope you're not too hungry",<pad> <pad> anton ct it's just Round_Table_distance away but there is heavy traffic i hope you're not too hungry <eos>
2488,"search for nearest fast food restaurants there is two restaurants near you; one serves pizza and the other chinese, which do you prefer? the pizza place, give me the quickest one that is nearby. then let's go at round table, 113 anton ct ,it's just Round_Table_distance away but there is heavy traffic, i hope you're not too hungry please give me directions to the pizza place please. thank you.",navigating to Round_Table_address now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> navigating to Round_Table_address now <eos>
2489,"search for nearest fast food restaurants there is two restaurants near you; one serves pizza and the other chinese, which do you prefer? the pizza place, give me the quickest one that is nearby. then let's go at round table, 113 anton ct ,it's just Round_Table_distance away but there is heavy traffic, i hope you're not too hungry please give me directions to the pizza place please. thank you.  navigating to Round_Table_address now.  thank you, let's go there!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
2490,show me the weather for the next 7 days,what city can i give you the 7 day forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> is on give you you 7 day forecast <unk> <eos>
2491,"show me the weather for the next 7 days what city can i give you the 7 day forecast for? durham, will there be clear skies there during the next seven days?",there will be clear skies in durham on thursday and durham_friday only. would you like the rest of the forecast?,<pad> <pad> <pad> skies in durham on thursday and durham_friday only would you like the rest of the <unk> <eos>
2492,"show me the weather for the next 7 days what city can i give you the 7 day forecast for? durham, will there be clear skies there during the next seven days? there will be clear skies in durham on thursday and durham_friday only. would you like the rest of the forecast? thank you.",you are welcome,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2493,set reminder to take my medicine on the 12th at 3 pm,i have scheduled a reminder at 3 pm on the 12th.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i have scheduled a reminder at 3 pm on the 12th <eos>
2494,"car, remind me to take my medicine at 2 pm, monday august 8th. i need you to add jeff to the parties involved.",setting reminder to take medicine on monday august 8th at 2 pm with jeff.,<pad> <pad> <pad> <pad> <pad> setting reminder to take medicine on monday august 8th at 2 pm with jeff <eos>
2495,"car, remind me to take my medicine at 2 pm, monday august 8th. i need you to add jeff to the parties involved.  setting reminder to take medicine on monday august 8th at 2 pm with jeff.  thanks!",you are welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are <unk> <eos>
2496,what is the weather today and tomorrow,what city shall i give you today and tomorrow's forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> city do to want like forecast <unk> <eos>
2497,what is the weather today and tomorrow what city shall i give you today and tomorrow's forecast for? will it be warm in durham today?,it will be humid with a high of 70f in durham today.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> it will low humid with a high of 70f in durham today <eos>
2498,what is the weather today and tomorrow what city shall i give you today and tomorrow's forecast for? will it be warm in durham today? it will be humid with a high of 70f in durham today. thank you.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2499,where is the house,are you talking about your home?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you home are on <unk> <eos>
2500,"where is the house are you talking about your home? yes, please, pick the quickest route to go there!","i sent you the route on screen, drive carefully!",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> i sent you the route on screen drive <unk> <eos>
2501,please give me directions to a nearby parking garage parking lot,"the closest parking garage is dish parking at 550 alester ave, Dish_Parking_distance away. setting directions now.",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> okay away at dish parking ave you its address on <unk> <eos>
2502,"please give me directions to a nearby parking garage parking lot the closest parking garage is dish parking at 550 alester ave, Dish_Parking_distance away. setting directions now. please pick the route with the shortest distance, thank you!",setting gps now.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> setting gps now <eos>
2503,"please give me directions to a nearby parking garage parking lot the closest parking garage is dish parking at 550 alester ave, Dish_Parking_distance away. setting directions now. please pick the route with the shortest distance, thank you! setting gps now. thank you so much!",you're welcome; drive safely.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> drive safely <eos>
2504,what is the forecast for today and tomorrow,which city would you like today and tomorrow's forecast for?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you i you want the forecast <unk> <eos>
2505,what is the forecast for today and tomorrow which city would you like today and tomorrow's forecast for? i would like to know if it will be foggy in alhambra,it's not gonna be foggy in alhambra today or tomorrow,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> it's not gonna be foggy in alhambra today or tomorrow <eos>
2506,what is the forecast for today and tomorrow which city would you like today and tomorrow's forecast for? i would like to know if it will be foggy in alhambra it's not gonna be foggy in alhambra today or tomorrow okay thank you.,you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
2507,what's the weather gonna be like on corona_friday in corona?,"the weather forecast in corona predicts frost, with a temperature high reaching 50f on corona_friday",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> what a temperature high reaching 50f on corona_friday <eos>
2508,"what's the weather gonna be like on corona_friday in corona? the weather forecast in corona predicts frost, with a temperature high reaching 50f on corona_friday thanks.",anytime.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> anytime <eos>
2509,will it be foggy in redwood city on redwood_city_wednesday?,it should not be foggy on redwood_city_wednesday in redwood city,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> will low be be drizzle redwood_city_wednesday in redwood city <eos>
2510,will it be foggy in redwood city on redwood_city_wednesday? it should not be foggy on redwood_city_wednesday in redwood city thanks.,you are welcome.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you are welcome <eos>
2511,where can i go to eat,papa johns is located Papa_Johns_distance away at 110 arastradero rd. would you like directions there?,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> there tai still like to <unk> <eos>
2512,where can i go to eat papa johns is located Papa_Johns_distance away at 110 arastradero rd. would you like directions there? yes sounds good. thanks.,"okay, please be aware because there is a Papa_Johns_traffic_info",<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> okay please be aware because there is a Papa_Johns_traffic_info <eos>
2513,find me directions to the nearest hotel,the nearest hotel is the westin.,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> the nearest hotel is the westin <eos>
2514,find me directions to the nearest hotel the nearest hotel is the westin. give me the address.,the westin is located at 329 el camino real which is The_Westin_distance away with no traffic.,<pad> <pad> <pad> the westin is located at 329 el camino real which is The_Westin_distance away with no traffic <eos>
2515,"find me directions to the nearest hotel the nearest hotel is the westin. give me the address. the westin is located at 329 el camino real which is The_Westin_distance away with no traffic. let's go there, thank you car!",you're welcome!,<pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> you're <unk> <eos>
